MAUI errors

Severity	Code	Description	Project	File	Line	Suppression State
Error		attribute lottie_autoPlay (aka com.companyname.zoomsdksampleapp:lottie_autoPlay) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout-sw520dp-land-v13\zm_welcome_new.xml	2	
Error		attribute lottie_autoPlay (aka com.companyname.zoomsdksampleapp:lottie_autoPlay) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout\zm_layout_video_unit_label.xml	2	
Error		attribute lottie_autoPlay (aka com.companyname.zoomsdksampleapp:lottie_autoPlay) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout\zm_welcome_new.xml	2	
Error		attribute lottie_loop (aka com.companyname.zoomsdksampleapp:lottie_loop) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout-sw520dp-land-v13\zm_welcome_new.xml	2	
Error		attribute lottie_loop (aka com.companyname.zoomsdksampleapp:lottie_loop) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout-sw520dp-v13\zm_welcome_new.xml	2	
Error		attribute lottie_loop (aka com.companyname.zoomsdksampleapp:lottie_loop) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout\zm_layout_video_unit_label.xml	2	
Error		attribute lottie_loop (aka com.companyname.zoomsdksampleapp:lottie_loop) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\3\jl\res\layout\zm_welcome_new.xml	2	
Error		failed linking file resources.	ZoomSDKSampleApp.Android	C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Xamarin\Android\Xamarin.Android.Aapt2.targets	156	

Xamarin Errors without Exoplayer

Severity	Code	Description	Project	File	Line	Suppression State
Error		resource style/ExoMediaButton.FastForward (aka com.companyname.zoomsdksampleapp:style/ExoMediaButton.FastForward) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		attribute controller_layout_id (aka com.companyname.zoomsdksampleapp:controller_layout_id) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\activity_media_player.xml	2	
Error		attribute controller_layout_id (aka com.companyname.zoomsdksampleapp:controller_layout_id) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_videomail_player.xml	2	
Error		attribute controller_layout_id (aka com.companyname.zoomsdksampleapp:controller_layout_id) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_video_player.xml	2	
Error		attribute hide_on_touch (aka com.companyname.zoomsdksampleapp:hide_on_touch) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_videomail_player.xml	2	
Error		attribute hide_on_touch (aka com.companyname.zoomsdksampleapp:hide_on_touch) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_video_player.xml	2	
Error		attribute resize_mode (aka com.companyname.zoomsdksampleapp:resize_mode) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_video_player.xml	2	
Error		attribute show_timeout (aka com.companyname.zoomsdksampleapp:show_timeout) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_videomail_player.xml	2	
